ID,SubmissionDate,start,end,today,personas-n_personas,pais-pais_origen,pais-provincia,pais-pais_otro,noches_ciudad-noches,informacion_group-info,informacion_group-info_otro,telefonia-servicios_telefonicos,telefonia-empresa_otro,discapacidad-discapacidad,meta-instanceID,KEY,SubmitterID,SubmitterName,Status
1,2020-02-15T12:30:17.238Z,2020-02-14T15:24:57.500-03:00,2020-02-14T15:25:20.791-03:00,14/02/2020,2,Argentina,Mendoza,,3,Mapas_Ciudad Orientación SUBE,,,,No,uuid:aa37f78f-03d3-4e1a-953c-e6649d7ad7cb,uuid:aa37f78f-03d3-4e1a-953c-e6649d7ad7cb,76,Aeroparque,
2,2020-02-15T12:30:17.917Z,2020-02-14T16:20:23.363-03:00,2020-02-14T16:20:38.750-03:00,14/02/2020,2,Argentina,Mendoza,,,Mapas_Ciudad,,,,No,uuid:5a6fd095-38b0-45aa-9368-39e002e2bec6,uuid:5a6fd095-38b0-45aa-9368-39e002e2bec6,76,Aeroparque,
3,2020-02-15T12:30:18.752Z,2020-02-14T16:21:06.756-03:00,2020-02-14T16:21:15.138-03:00,14/02/2020,2,Argentina,AMBA,,,Agencias_&_Compañías_aéreas,,,,No,uuid:c7cae2e1-0e54-4862-afdc-906daaf936c2,uuid:c7cae2e1-0e54-4862-afdc-906daaf936c2,76,Aeroparque,
4,2020-02-15T12:30:19.320Z,2020-02-14T16:21:18.711-03:00,2020-02-14T16:21:32.299-03:00,14/02/2020,3,Chile,,,,"Orientación Consulta_de_pasajero_en_tránsito Cambio,_Banco_&_Cajeros",,Ninguna,,No,uuid:8183a848-a09a-4ad5-81b3-227749a5b81d,uuid:8183a848-a09a-4ad5-81b3-227749a5b81d,76,Aeroparque,
5,2020-02-15T12:30:19.872Z,2020-02-14T17:38:59.426-03:00,2020-02-14T17:39:17.600-03:00,14/02/2020,2,Argentina,Córdoba,,,Agencias_&_Compañías_aéreas Consulta_de_pasajero_en_tránsito,,,,No,uuid:58fbb5d3-1d23-440c-9307-c52f635e5ec2,uuid:58fbb5d3-1d23-440c-9307-c52f635e5ec2,76,Aeroparque,
6,2020-02-15T12:30:20.474Z,2020-02-14T17:39:21.044-03:00,2020-02-14T17:39:34.699-03:00,14/02/2020,2,China,,,,Orientación Transporte,,Ninguna,,No,uuid:8618a0b9-df07-4fdf-bc0d-ce99b3dcb16f,uuid:8618a0b9-df07-4fdf-bc0d-ce99b3dcb16f,76,Aeroparque,
7,2020-02-15T12:30:21.001Z,2020-02-14T17:39:38.559-03:00,2020-02-14T17:41:03.606-03:00,14/02/2020,2,Alemania,,,4,Mapas_Ciudad Orientación Agencias_&_Compañías_aéreas Info_Uruguay,,Ninguna,,No,uuid:a21ac118-e713-4fe0-a0fb-8347e4e19e76,uuid:a21ac118-e713-4fe0-a0fb-8347e4e19e76,76,Aeroparque,
8,2020-02-15T12:30:21.992Z,2020-02-14T17:58:32.093-03:00,2020-02-14T17:58:41.962-03:00,14/02/2020,1,Argentina,AMBA,,,Uso_de_instalaciones,,,,No,uuid:ce17410e-2186-4fb1-9b29-c5609799dd64,uuid:ce17410e-2186-4fb1-9b29-c5609799dd64,76,Aeroparque,
9,2020-02-15T12:30:22.600Z,2020-02-14T17:58:45.677-03:00,2020-02-14T17:58:54.678-03:00,14/02/2020,1,Argentina,AMBA,,,Uso_de_instalaciones,,,,No,uuid:f7de9efa-6819-482a-9be5-444a1abf96a1,uuid:f7de9efa-6819-482a-9be5-444a1abf96a1,76,Aeroparque,
10,2020-02-15T12:30:23.160Z,2020-02-14T17:58:58.077-03:00,2020-02-14T17:59:08.377-03:00,14/02/2020,2,Argentina,Provincia_de_Buenos_Aires,,,Orientación Agencias_&_Compañías_aéreas,,,,No,uuid:868302c9-4fc5-4982-be6c-ae4c56df12ce,uuid:868302c9-4fc5-4982-be6c-ae4c56df12ce,76,Aeroparque,
11,2020-02-15T12:30:23.720Z,2020-02-14T18:33:00.193-03:00,2020-02-14T18:33:11.073-03:00,14/02/2020,2,Argentina,Córdoba,,,Mapas_Ciudad,,,,No,uuid:17e824fe-77e2-45f2-a247-db0315c6763c,uuid:17e824fe-77e2-45f2-a247-db0315c6763c,76,Aeroparque,
12,2020-02-15T12:30:25.000Z,2020-02-14T18:33:14.794-03:00,2020-02-14T18:33:22.754-03:00,14/02/2020,2,Argentina,AMBA,,,Mapas_Ciudad,,,,No,uuid:186031d8-02f6-44af-b890-1ddfe393ca71,uuid:186031d8-02f6-44af-b890-1ddfe393ca71,76,Aeroparque,
13,2020-02-15T12:30:25.599Z,2020-02-14T19:35:22.724-03:00,2020-02-14T19:35:37.538-03:00,14/02/2020,3,Argentina,Corrientes,,,Orientación SUBE,,,,No,uuid:1a42a6a6-0b8d-4de8-b52b-85dfbfefa5b1,uuid:1a42a6a6-0b8d-4de8-b52b-85dfbfefa5b1,76,Aeroparque,
14,2020-02-15T12:30:26.239Z,2020-02-14T19:35:40.728-03:00,2020-02-14T19:35:52.432-03:00,14/02/2020,2,Australia,,,,Orientación Consulta_de_pasajero_en_tránsito Agencias_&_Compañías_aéreas,,Ninguna,,No,uuid:3a631403-8ea9-4af1-bf26-b82ad2196f2a,uuid:3a631403-8ea9-4af1-bf26-b82ad2196f2a,76,Aeroparque,
15,2020-02-15T12:30:26.791Z,2020-02-14T19:35:56.492-03:00,2020-02-14T19:36:18.888-03:00,14/02/2020,3,Chile,,,4,Mapas_Ciudad Orientación Transporte,,Ninguna,,No,uuid:557736ad-2ea5-4b61-9b26-42127960beef,uuid:557736ad-2ea5-4b61-9b26-42127960beef,76,Aeroparque,
16,2020-02-15T12:30:27.360Z,2020-02-14T19:52:10.817-03:00,2020-02-14T19:52:25.589-03:00,14/02/2020,2,España,,,4,Mapas_Ciudad Orientación Transporte SUBE,,Ninguna,,No,uuid:53351c4a-3f71-4a6b-88fa-fd9dd93fd2ab,uuid:53351c4a-3f71-4a6b-88fa-fd9dd93fd2ab,76,Aeroparque,
17,2020-02-15T13:21:54.274Z,2020-02-15T09:38:57.334-03:00,2020-02-15T10:21:02.104-03:00,15/02/2020,5,Argentina,Salta,,1,Mapas_Ciudad Transporte,,,,No,uuid:fffed91c-84a2-4e91-ae34-59c05494a67e,uuid:fffed91c-84a2-4e91-ae34-59c05494a67e,76,Aeroparque,
18,2020-02-15T13:21:54.953Z,2020-02-15T09:39:25.518-03:00,2020-02-15T09:39:47.787-03:00,15/02/2020,3,Francia,,,2,Orientación Mapas_Ciudad,,Ninguna,,No,uuid:e39e6366-bc8b-48f1-8162-90e3388cd036,uuid:e39e6366-bc8b-48f1-8162-90e3388cd036,76,Aeroparque,
19,2020-02-15T13:21:55.472Z,2020-02-15T10:21:07.187-03:00,2020-02-15T10:21:25.014-03:00,15/02/2020,4,Argentina,Provincia_de_Buenos_Aires,,0,Mapas_Ciudad Orientación Transporte,,,,No,uuid:addc393c-39ae-4539-8c2c-37ec208f999a,uuid:addc393c-39ae-4539-8c2c-37ec208f999a,76,Aeroparque,
20,2020-02-15T14:03:08.274Z,2020-02-15T10:26:18.663-03:00,2020-02-15T10:26:53.971-03:00,15/02/2020,2,Argentina,AMBA,,,Orientación Transporte,,,,No,uuid:7ddf8623-fa54-45f3-b24c-61d4898a4289,uuid:7ddf8623-fa54-45f3-b24c-61d4898a4289,76,Aeroparque,
21,2020-02-15T14:03:09.034Z,2020-02-15T10:56:20.751-03:00,2020-02-15T10:56:43.938-03:00,15/02/2020,4,Brasil,,,5,Mapas_Ciudad Orientación Transporte Compras Gastronomía Uso_de_instalaciones Atractivos_turísticos,,Ninguna,,No,uuid:08985679-bba7-4691-9b5b-6adb786eabf2,uuid:08985679-bba7-4691-9b5b-6adb786eabf2,76,Aeroparque,
22,2020-02-15T14:16:04.682Z,2020-02-15T11:13:40.637-03:00,2020-02-15T11:13:54.726-03:00,15/02/2020,2,Argentina,Córdoba,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:f5503111-daa9-4593-8448-2bf43bd8bbf4,uuid:f5503111-daa9-4593-8448-2bf43bd8bbf4,76,Aeroparque,
23,2020-02-15T14:16:05.360Z,2020-02-15T11:13:58.993-03:00,2020-02-15T11:14:14.331-03:00,15/02/2020,5,Reino_Unido,,,,Mapas_Ciudad Transporte Orientación,,,,,uuid:e7245ea2-7ac5-43e3-a570-d3bc04acc5f6,uuid:e7245ea2-7ac5-43e3-a570-d3bc04acc5f6,76,Aeroparque,
