Centro Integral de la Mujer;Admisiones;;;;;;;;;;;;;;;;;;
;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sep-21;oct-21;nov-21;dic-21;Total por año;;;;;;
C.I.M. Isabel Calvo;26;25;19;52;20;21;54;44;60;59;50;29;459;;;;;;
C.I.M. Alicia Moreau;2;3;4;9;4;8;6;7;7;8;10;15;83;;;;;;
C.I.M. Marg Malharro T. Mañana;7;22;10;8;9;18;25;46;38;34;29;24;270;El CIM pasó a funcionar solamente en el turno mañana;;;;;
C.I.M. Marg Malharro T. Tarde;7;7;10;11;10;10;1;;;;;;56;;;;;;
C.I.M. Pepa Gaitán;25;40;32;33;38;61;44;68;81;65;53;46;586;;;;;;
C.I.M. Elvira Rawson;24;19;35;20;15;37;45;39;49;49;27;26;385;;;;;;
C.I.M. Lugar de Mujer;7;9;8;2;5;12;;;;;;;43;El CIM  pasó a ser propio llamandose Florentina Gómez Miranda;;;;;
C.I.M Florentina Gómez Miranda;;;;;;;13;9;13;10;18;16;79;;;;;;
C.I.M. Dign@s de Ser;19;12;7;16;10;11;24;29;25;19;14;23;209;;;;;;
C.I.M. Minerva Mirabal;37;44;51;39;40;46;30;53;42;64;55;29;530;;;;;;
C.I.M. Alfonsina Storni;28;27;17;23;10;16;15;47;34;34;31;3;285;;;;;;
C.I.M. Carolina Muzzilli;19;24;22;18;15;19;18;23;18;24;21;15;236;;;;;;
C.I.M. María Gallego;19;15;18;16;20;21;28;28;37;35;39;25;301;;;;;;
C.I.M. Trayectoria por una Vida Sin Violencia;11;7;13;17;16;14;20;15;;;;;113;El CIM  pasó a ser propio.;;;;;
C.I.M 12;;;;;;;;;;10;17;17;44;;;;;;
C.I.M. Macacha Güemes;14;13;15;9;11;26;19;20;43;17;21;21;229;;;;;;
C.I.M. María Elena Walsh;6;7;7;7;8;8;15;20;38;16;18;12;162;;;;;;
C.I.M. Fenia Chertkoff;5;5;11;17;13;12;21;15;;;;;99;El CIM  pasó a ser propio.;;;;;
C.I.M 15;;;;;;;;;;36;18;24;78;;;;;;
Total por mes;256;279;279;297;244;340;378;463;485;480;421;325;4247;;;;;;
;;;;;;;;;;;;;;;;;;;
Centro Integral de la Mujer;Prestaciones;;;;;;;;;;;;;;;;;TIPOS DE PRESTACIONES;TOTAL
;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sep-21;oct-21;nov-21;dic-21;Total por año;;;;;ADMISIONES;4247
C.I.M. Isabel Calvo;191;191;180;221;243;236;318;333;477;502;468;418;3778;;;;;GRUPO TERAPEÚTICO;4172
C.I.M. Alicia Moreau;159;195;165;258;304;315;278;255;322;333;304;216;3104;;;;;ENTREVISTA DE ORIENTACIÓN;15498
C.I.M. Marg Malharro T. Mañana;247;268;276;296;254;282;371;476;480;445;409;292;4096;El CIM pasó a funcionar solamente en el turno mañana;;;;ATENCIÓN PSICOLÓGICA;9552
C.I.M. Marg Malharro T. Tarde;187;254;274;309;340;340;167;;;;;;1871;;;;;ORIENTACIÓN SOCIAL;5129
C.I.M. Pepa Gaitán;168;350;449;459;518;626;480;501;506;508;539;541;5645;;;;;SEGURIDAD SOCIAL;3574
C.I.M. Elvira Rawson;225;225;395;350;283;359;333;382;297;327;327;243;3746;;;;;ASESORAMIENTO LEGAL;6654
C.I.M. Lugar de Mujer;103;100;97;103;74;114;;;;;;;591;El CIM  pasó a ser propio llamandose Florentina Gómez Miranda;;;;PATROCINIO JURÍDICO;5865
C.I.M Florentina Gómez Miranda;;;;;;;61;57;109;105;182;207;721;;;;;;
C.I.M. Dign@s de Ser;224;195;240;258;245;253;259;299;287;197;233;245;2935;;;;;;
C.I.M. Minerva Mirabal;334;415;504;542;335;445;288;382;328;396;392;304;4665;;;;;;
C.I.M. Alfonsina Storni;131;138;194;144;110;173;281;235;211;242;297;192;2348;;;;;;
C.I.M. Carolina Muzzilli;252;235;368;269;282;307;321;382;321;231;185;152;3305;;;;;;
C.I.M. María Gallego;403;418;462;440;398;493;552;494;454;402;390;351;5257;;;;;;
C.I.M. Trayectoria por una Vida Sin Violencia;206;178;185;205;213;190;196;235;;;;;1608;El CIM  pasó a ser propio.;;;;;
C.I.M 12;;;;;;;;;;23;69;114;206;;;;;;
C.I.M. Macacha Güemes;272;397;432;407;425;466;618;534;690;613;669;611;6134;;;;;;
C.I.M. María Elena Walsh;133;177;190;211;221;238;277;300;468;586;534;468;3803;;;;;;
C.I.M. Fenia Chertkoff;85;149;152;208;173;204;222;205;;;;;1398;El CIM  pasó a ser propio.;;;;;
C.I.M 15;;;;;;;;;;320;435;442;1197;;;;;;
Total por mes;3320;3885;4563;4680;4418;5041;5022;5070;4950;5230;5433;4796;56408;;;;;;
