anio,mujeres,grupo_edad
2000,282,15 - 24
2000,792,25 - 34
2000,830,35 - 44
2000,564,45 - 54
2000,262,55 y más
2000,.,Ignorado
2001,250,15 - 24
2001,730,25 - 34
2001,767,35 - 44
2001,432,45 - 54
2001,202,55 y más
2001,.,Ignorado
2002,238,15 - 24
2002,821,25 - 34
2002,770,35 - 44
2002,431,45 - 54
2002,196,55 y más
2002,61,Ignorado
2003,307,15 - 24
2003,865,25 - 34
2003,809,35 - 44
2003,519,45 - 54
2003,245,55 y más
2003,95,Ignorado
2004,269,15 - 24
2004,848,25 - 34
2004,757,35 - 44
2004,439,45 - 54
2004,227,55 y más
2004,134,Ignorado
2005,198,15 - 24
2005,811,25 - 34
2005,680,35 - 44
2005,380,45 - 54
2005,220,55 y más
2005,200,Ignorado
2006,228,15 - 24
2006,778,25 - 34
2006,754,35 - 44
2006,442,45 - 54
2006,227,55 y más
2006,264,Ignorado
2007,194,15 - 24
2007,711,25 - 34
2007,644,35 - 44
2007,388,45 - 54
2007,212,55 y más
2007,219,Ignorado
2008,275,15 - 24
2008,804,25 - 34
2008,756,35 - 44
2008,422,45 - 54
2008,236,55 y más
2008,170,Ignorado
2009,306,15 - 24
2009,920,25 - 34
2009,832,35 - 44
2009,487,45 - 54
2009,291,55 y más
2009,98,Ignorado
2010,329,15 - 24
2010,894.724,25 - 34
2010,810,35 - 44
2010,473.96799999999996,45 - 54
2010,259,55 y más
2010,130.308,Ignorado
2011,368,15 - 24
2011,962,25 - 34
2011,868,35 - 44
2011,475,45 - 54
2011,260,55 y más
2011,247,Ignorado
2012,292,15 - 24
2012,826,25 - 34
2012,763,35 - 44
2012,415,45 - 54
2012,259,55 y más
2012,239,Ignorado
2013,258,15 - 24
2013,618,25 - 34
2013,658,35 - 44
2013,363,45 - 54
2013,215,55 y más
2013,255,Ignorado
2014,193,15 - 24
2014,610,25 - 34
2014,582,35 - 44
2014,273,45 - 54
2014,157,55 y más
2014,282,Ignorado
2015,192,15 - 24
2015,509,25 - 34
2015,554,35 - 44
2015,324,45 - 54
2015,143,55 y más
2015,233,Ignorado
2016,191,15 - 24
2016,538,25 - 34
2016,577,35 - 44
2016,259,45 - 54
2016,136,55 y más
2016,149,Ignorado
2017,227,15 - 24
2017,600,25 - 34
2017,622,35 - 44
2017,315,45 - 54
2017,196,55 y más
2017,271,Ignorado
