id,coordenada_x,coordenada_y,periodo,anio,mes,teatro,clasificacion,direccion_normalizada,sala,tipo_presentacion,titulo,descripcion,autor,version,direccion_obra,barrio,comuna,codigo_postal,codigo_postal_argentino
1,-58.38864181184383,-34.604238054156944,201703,2017,3,SAN MARTIN,TEATRO,CORRIENTES AV. 1530,MARTIN CORONADO,ESTRENO,LA FARSA DE LOS AUSENTES,"SOBRE LOS RESTOS DE UN PAISAJE NACIONAL DERRUMBADO,FUERA DEL TIEMPO Y YA SIN NOMBRE,CONDENADOS A LOS CAPRICHOS DE CESAR,LOS ULTIMOS HABITANTES SE AFERRAN A LA ILUSION DE DIOS,SIN SABER QUE ESTAN EN UN TEATRO.",ROBERTO ARLT,POMPEYO AUDIVERT,POMPEYO AUDIVERT,SAN NICOLAS,1,1042,C1042AAO
2,-58.38864181184383,-34.604238054156944,201707,2017,7,SAN MARTIN,TEATRO,CORRIENTES AV. 1530,MARTIN CORONADO,ESTRENO,EL INSPECTOR,"EN UN LEJANO PUEBLO DEL INTERIOR DE RUSIA,UN GRUPO DE FUNCIONARIOS RECIBEN LA NOTICIA DE LA INMINENTE VISITA DE UN INSPECTOR PROVENIENTE DE LA CAPITAL. EL TEMOR A PERDER SUS PRIVILEGIOS COMO ADMINISTRADORES DEL ESTADO LOS EMPUJA A UN SERVILISMO CASI ABSURDO,SITUACION QUE SIRVE A GOGOL PARA DESARROLLAR UNA SATIRA DRAMATICA CON MECANISMOS Y COMPORTAMIENTOS RECONOCIBLES. PUBLICADA Y ESTRENADA EN 1836,EL INSPECTOR REFLEJA DE MANERA VIRTUOSA,Y SOBRE TODO ACTUAL,EL DESATINO QUE PROVOCA EL MIEDO LIBERADO A LOS VAIVENES DEL ENTRAMADO SOCIAL.",NIKOLAI GOGOL,DANIEL VERONESE,DANIEL VERONESE,SAN NICOLAS,1,1042,C1042AAO
3,-58.38864181184383,-34.604238054156944,201703,2017,3,SAN MARTIN,DANZA,CORRIENTES AV. 1530,MARTIN CORONADO,REPOSICION,NOVENA SINFONIA,"ES PROBABLE QUE LOS VERSOS QUE EL POETA ALEMAN FRIEDRICH SCHILLER ESCRIBIO HACIA 1785 NO HUBIERAN ALCANZADO LA FAMA UNIVERSAL DE LA QUE GOZAN SI NO FUERA PORQUE TIEMPO DESPUES,EN 1793,LLEGARON A MANOS DE LUDWIG VAN BEETHOVEN,POR ENTONCES UN JOVEN COMPOSITOR DE 23 AÑOS,QUIEN QUISO MUSICALIZAR EL TEXTO. SURGIO ENTONCES LA QUE TERMINARIA SIENDO SU NOVENA Y ULTIMA SINFONIA,UNA DE LAS OBRAS MAS TRASCENDENTALES,INFLUYENTES Y POPULARES DE LA MUSICA DE TODOS LOS TIEMPOS.",NA,NA,ANDREA CHINETTI,SAN NICOLAS,1,1042,C1042AAO
4,-58.38864181184383,-34.604238054156944,201705,2017,5,SAN MARTIN,DANZA,CORRIENTES AV. 1530,MARTIN CORONADO,ESTRENO,CUENTOS DE ORIENTE Y OCCIDENTE: LA BELLA,"ANA MARIA STEKELMAN,CREADORA DE LA COREOGRAFIA,SINTETIZA LAS IDEAS QUE GENERARON ESTE PROYECTO: “EN PRINCIPIO,PENSE EN TRABAJAR SOBRE EL TRADICIONAL CUENTO DE HADAS LA BELLA DURMIENTE,CUYAS VERSIONES MAS DIFUNDIDAS SON LAS BASADAS EN LOS CUENTOS DE CHARLES PERRAULT Y LOS HERMANOS GRIMM. EN CUANTO A LAS VERSIONES PARA BALLET,GENERALMENTE HAN RESPETADO LA MUSICA ORIGINAL DE CHAIKOVSKI. PERO LUEGO PENSE EN UN LENGUAJE DISTINTO. LA MUSICA OSCILARIA ENTRE VALSES DE STRAUSS Y SHOSTAKOVICH,SUMANDO EL SONIDO CONTEMPORANEO DE GYÖRGY LIGETI. LA TAREA DE COMPAGINACION MUSICAL ESTARA A CARGO DE GABRIEL ‘GABY’ GOLDMAN Y EL DISEÑO DE ESCENOGRAFIA Y VESTUARIO SERA RESPONSABILIDAD DE JORGE FERRARI. COMO ME ENCANTA LA HISTORIA DEL CUENTO,TRATARE DE MANTENERLA CASI SIN CAMBIOS A TRAVES DE UN LENGUAJE QUE,SI NO NUEVO,AL MENOS MUY PROPIO”.",NA,NA,ANDREA CHINETTI,SAN NICOLAS,1,1042,C1042AAO
5,-58.38864181184383,-34.604238054156944,201705,2017,5,SAN MARTIN,DANZA,CORRIENTES AV. 1530,MARTIN CORONADO,ESTRENO,CUENTOS DE ORIENTE Y OCCIDENTE: DOS PETALOS,"DOS PETALOS ESTA INSPIRADA EN UN CUENTO ANONIMO JAPONES,EL ESPEJO DE MATSUYAMA,QUE DESCRIBE EL VINCULO DE UNA JOVEN CON SU MADRE QUE ACABA DE MORIR. CADA DIA,ELLA HABLA CON LA IMAGEN DE SU MADRE REFLEJADA EN UN ESPEJO Y CRUZA ASI EL UMBRAL ENTRE LOS DOS PLANOS. SU PADRE DESCUBRE LA ILUSION DE SU HIJA PERO DECIDE NO ROMPER ESA CONEXION MAGICA. ESTE CUENTO DANZADO CON IMPRONTA ORIENTAL,ENTRELAZA EL ORIGAMI CON LOS KAMIS O ESPIRITUS DE LA NATURALEZA Y CREA UNA POETICA ENTRE LUCES Y SOMBRAS. DOS PETALOS OFRECE UNA SONORIDAD DIFERENTE A PARTIR DE LA MUSICA PENTATONICA CON LA UTILIZACION DE INSTRUMENTOS JAPONESES,COMO EL TAIKO Y EL KOTO QUE SE EJECUTARAN EN VIVO.",NA,NA,ANDREA CHINETTI,SAN NICOLAS,1,1042,C1042AAO
6,-58.38864181184383,-34.604238054156944,201707,2017,7,SAN MARTIN,DANZA,CORRIENTES AV. 1530,MARTIN CORONADO,REESTRENO,EL NIÑO Y LOS SORTILEGIOS,"“EXISTEN DIFERENTES CAMINOS PARA ABORDAR EL NIÑO Y LOS SORTILEGIOS,SIENDO EL MAS CLASICO AQUEL QUE ENFATIZA LOS ASPECTOS FANTASTICOS Y MAGICOS DE ESTA FABULA SOBRE OBJETOS QUE SE ANIMAN Y ESTAN HABITADOS POR SENTIMIENTOS HUMANOS. EN ESTA VERSION ME GUIO EL DESEO DE REFLEXIONAR SOBRE LA CONCIENCIA INDIVIDUAL Y SU INSERCION EN LA VIDA DE LA COMUNIDAD. ESTE NIÑO,¿ES UN ADULTO QUE DESTRUYE COMO UN NIÑO O UN NIÑO QUE DESTRUYE COMO UN ADULTO? SU IMAGEN ES,TAMBIEN,LA DE UN CONTEMPORANEO QUE AVANZA HACIA SU DESTRUCCION CON TRANQUILA INCONCIENCIA,QUE ACUMULA LOS OBJETOS QUE MATARA O HARA DESAPARECER,IMPASIBLE ANTE UN UNIVERSO DEVORADO POR LA POLUCION. DE ALGUNA MANERA ESTE NIÑO PUEDE MUY BIEN SER IDENTIFICADO COMO UN PEQUEÑO DICTADOR O UN LOCO QUE TRANSFORMA TODOS LOS OBJETOS Y TODOS LOS GESTOS EN AMENAZAS. LIBERADAS LAS PULSIONES DESTRUCTIVAS DEL HOMBRE,¿PODEMOS ESTAR SEGUROS DE QUE LA NATURALEZA LO SALVARA? SERIA BUENO CREERLO. JUNTO A LA PERSPECTIVA SIMBOLICA,LA OTRA PREOCUPACION DE ESTA VERSION CONSISTE EN CREAR UN ESPECTACULO ENTERAMENTE DANZADO. HE QUERIDO MOSTRAR ESTA PIEZA,ANTE TODO,POR SU MUSICA,CON SUS ENCADENAMIENTOS Y METAMORFOSIS SONORAS. ME GUSTARIA QUE SE ADVIRTIESEN SIMULTANEAMENTE EL PLACER DE ESTA MUSICA DESPLEGADA EN GESTOS Y SU MENSAJE SIMBOLICO,ENTRETEJIDO COMO UNA FILIGRANA”.",OSCAR ARAIZ,NA,ANDREA CHINETTI,SAN NICOLAS,1,1042,C1042AAO
7,-58.38864181184383,-34.604238054156944,201703,2017,3,SAN MARTIN,TEATRO,CORRIENTES AV. 1530,CASACUBERTA,ESTRENO,PARIAS,"“NO SOY EL UNICO QUE NO VALE NADA,TODOS SON ASI. ¡TODOS! POR DIOS. ¿DONDE ESTAN LOS SERES HUMANOS? UN MUNDO DEGENERADO,BESTIAL,EBRIO… ¡ETERNAMENTE EBRIO! ENGENDRADO POR UNA MADRE ESTUPIDA Y UN PADRE BORRACHO”. PARIAS,VERSION LIBRE DE PLATONOV DE ANTON CHEJOV,RETOMA LA HISTORIA DEL MAESTRO RURAL QUE VISITA LA FINCA EN DECADENCIA DE SU AMIGA ANNA PETROVNA EN BUSCA DEL DESCANSO. EN EL MARCO DE LA RUSIA RURAL,MIENTRAS EL VODKA PASA DE MANO EN MANO,LAS DEUDAS SE ACRECIENTAN Y LAS PROPIEDADES SE DETERIORAN,MIJAIL PLATONOV SE REENCUENTRA CON UN VIEJO AMOR QUE DESPIERTA POSIBILIDADES QUE PARECIAN DORMIDAS. Y ESE DESPERTAR NO SOLO INICIA SU OCASO SINO EL DE TODO EL MUNDO.,JUAN IGNACIO FERNANDEZ",GUILLERMO CACACE,LIBRE DE PLATONOV DE ANTON CHEJOV,GUILLERMO CACACE,SAN NICOLAS,1,1042,C1042AAO
8,-58.38864181184383,-34.604238054156944,201706,2017,6,SAN MARTIN,TEATRO,CORRIENTES AV. 1530,CASACUBERTA,ESTRENO,ORLANDO,"UNA UCRONIA DISFORICA,EMILIO GARCIA WEHBI Y MARICEL ALVAREZ TOMARON COMO PUNTO DE PARTIDA LA NOVELA ORLANDO. UNA BIOGRAFIA DE VIRGINIA WOOLF,CONSIDERADA UNA PIEZA FUNDAMENTAL EN EL CAMPO DE LA LITERATURA FEMENINA,ASI COMO PARA LOS ESTUDIOS DE GENERO. EN ORLANDO WOOLF RELATA,DESDE LA PERSPECTIVA DE UN NARRADOR-BIOGRAFO OMNISCIENTE,LA VIDA DEL PERSONAJE QUE EN SU DEVENIR HISTORICO MUTA DE SEXO (DE VARON A MUJER) A LO LARGO DE CASI CUATRO SIGLOS: DESDE EL PERIODO ISABELINO,PASANDO POR EL VICTORIANO,HASTA LLEGAR A LA MODERNIDAD EN LOS ALBORES DEL SIGLO XX. GARCIA WEHBI Y ALVAREZ LLEVARAN LA HISTORIA HASTA LA ACTUALIDAD,APROVECHANDO UN SIGLO MAS DE HISTORICIDAD,PRECISAMENTE CUANDO LAS TEORIAS DE GENERO SE HAN EXPANDIDO HASTA TERRITORIOS QUE VIRGINIA WOOLF NO IMAGINO,GRACIAS A FILOSOF@S Y PENSADOR@S COMO PAUL B. PRECIADO Y JUDITH BUTLER. DE ESTA MANERA,NO SOLO SE CUESTIONA EL PAPEL DE LA MUJER EN EL MARCO DE SOCIEDADES MACHISTAS Y FALOCRATICAS,SINO TAMBIEN LA CONSTRUCCION SOCIAL Y POLITICA DEL SEXO COMO FUERZA REVOLUCIONARIA. EL TEXTO SE ARTICULA NODALMENTE A PARTIR DE LA RELACION ENTRE TIEMPO,LENGUA Y GENERO,A TRAVES DE LA ALTERACION DE LA CRONOLOGIA DE LOS HECHOS HISTORICOS (DE AHI SU CARACTER “UCRONICO”) Y DE LOS ENUNCIADOS GENERICOS A TRAVES DE UNA LENGUA INSATISFECHA (DE AHI SU CARACTER “DISFORICO”). PROCEDIMIENTOS QUE BUSCAN ESCAPAR DE LA CAPTURA CON QUE LOS MANDATOS SOCIALES HAN CONSTREÑIDO AL SUJETO A LO LARGO DE LA HISTORIA.",NA,NA,EMILIO GARCIA WEHBI,SAN NICOLAS,1,1042,C1042AAO
9,-58.38864181184383,-34.604238054156944,201709,2017,9,SAN MARTIN,DANZA,CORRIENTES AV. 1530,CASACUBERTA,ESTRENO,EL BAILE - TEMPORADA INTERNACIONAL (FRANCIA),"ES LA HISTORIA,A TRAVES DE CUATRO DECADAS,DE LAS RELACIONES DE DESEO Y LAS ESTRATEGIAS DE SEDUCCION ENTRE VARONES Y MUJERES,EN UNA SITUACION ESPECIAL,YA QUE INVOLUCRA AL CUERPO A TRAVES DE LA DANZA Y,POR GRACIA DEL TEATRO Y LA METONIMIA,REMITE TANTO A UNA ACTIVIDAD COMO A UN ESPACIO: EL BAILE. LOS ACTORES SE EXPRESAN SIN DIALOGOS,JUGANDO Y BAILANDO CON EL CUERPO,EN UNA RELACION INTIMA CON LA MUSICA QUE NARRA EL PASO DEL TIEMPO. EL ESPECTACULO PROYECTA UNA HISTORIA POPULAR DE FRANCIA,DESDE LOS TIEMPOS DE LA LIBERACION HASTA LOS AÑOS OCHENTA. LA ESCRITURA ESCENICA SE CONSTRUYO A PARTIR DE HISTORIAS DE VIDA RECOGIDAS EN UNA PEQUEÑA LOCALIDAD EN LAS AFUERAS DE PARIS. RELATOS QUE SE ENFRENTAN A LOS RECUERDOS AUN VIVOS DE LOS PROTAGONISTAS,A FOTOS Y PELICULAS. LOS CREADORES DE EL BAILE INVENTARON “FIGURAS”,ARQUETIPOS QUE HACEN VIAJAR EN EL TIEMPO. UN ESPECTACULO DE DANZA MAS QUE UNA OBRA DE TEATRO,CON UNA IMPRONTA FUERTEMENTE ANCLADA EN LA ESTETICA DE LOS OCHENTA. LA COREOGRAFA MATHILDE MONNIER Y EL ESCRITOR ALAN PAULS CREARON EL BAILE INSPIRANDOSE EN UN ESPECTACULO DE CULTO DE LOS OCHENTA: LE BAL,DE JEAN-CLAUDE PENCHENAT Y LA COMPAGNIE DU THEÂTRE DU CAMPAGNOL,QUE ETTORE SCOLA LLEVO AL CINE EN 1983. EL MISMO ETTORE SCOLA REALIZARA UN NUEVO FILM CON LOS INTEGRANTES DE LA COMPAÑIA.",VERONIQUE TIMSIT,NA,NA,SAN NICOLAS,1,1042,C1042AAO
10,-58.38864181184383,-34.604238054156944,201704,2017,4,SAN MARTIN,TITERES,CORRIENTES AV. 1530,CASACUBERTA,ESTRENO,LA ISLA DESIERTA - BURLERIA EN UN SOLO ACTO,"“EN LA ISLA DESIERTA,ROBERTO ARLT REVELA EL CLIMA DE ALIENACION DE UNA OFICINA CORRIENTE UBICADA EN UN SUBSUELO. UN DIA,LA EMPRESA DECIDE MUDAR A LOS EMPLEADOS AL DECIMO PISO. Y DE REPENTE SE PRODUCE UN CAMBIO ABSOLUTO: HAY VENTANAS,ENTRA LA LUZ,SE VE EL CIELO,SE OYE EL SONIDO DEL PUERTO,DE LAS GAVIOTAS,DE LAS SIRENAS DE LOS BUQUES. LOS EMPLEADOS ESTAN PERTURBADOS,COMETEN ERRORES Y EL JEFE (UN PERFECTO RIDICULO),LOS REPRENDE Y AMENAZA CON ECHARLOS. AL PRINCIPIO,LOS EMPLEADOS SE QUEJAN Y PREFIEREN LA OSCURIDAD DEL SUBSUELO. PERO DESPUES SE VERAN INVADIDOS POR UNA EXTRAÑA ENSOÑACION. DE REPENTE ENTRA EL DIRECTOR Y SE PRECIPITA EL FINAL. COMO SE TRATA DE UN TEXTO CON UNA VISION CRITICA DEL MUNDO –Y QUIZA UN POCO PESIMISTA SOBRE LA CONDICION HUMANA–,LA CONTAREMOS A TRAVES DE UNA TECNICA DE TITERES DE MANIPULACION DIRECTA SOBRE MESA,RELATIVAMENTE PEQUEÑOS Y MUY ARQUETIPICOS. Y,COMO SUCEDE CON LO ARQUETIPICO,CUANDO EL PERSONAJE PRESENTA CONTRADICCIONES,POR LO INESPERADO SE PRODUCE LA COMICIDAD. EL CARACTER DE ‘ESPECTACULO PARA TODO PUBLICO’ MOTIVO ESTA TECNICA EN LA QUE LOS PERSONAJES SE ALEJAN UN TANTO DE LA IMAGEN HUMANA PARA PERMITIRNOS HABILITAR EL TEXTO CORROSIVO DESDE LA IRONIA Y LA TERNURA. LOS PERSONAJES INTERACTUARAN CON SUS TITIRITEROS,QUIENES OCUPARAN EL ROL DE UN ‘ALTER EGO’ QUE LOS INTERROGA SOBRE SUS SUEÑOS REPRIMIDOS. SERAN,TAMBIEN,EL VEHICULO A TRAVES DEL ESCENARIO Y QUIENES LES PROPONGAN,POR QUE NO,LA AVENTURA DE LA LIBERTAD”.",ROBERTO ARLT,NA,ADELAIDA MANGANI,SAN NICOLAS,1,1042,C1042AAO
