periodo,teatro,obra,localidades_vendidas,invitados,cartelera,jub_y_est,club_nacion,ba_con_vos_y_banco_ciudad,discapacidad
201701,DE LA RIBERA,BESOS EN LA BOCA,822,110,17,265,NA,NA,27
201702,DE LA RIBERA,BESOS EN LA BOCA,729,153,35,415,NA,69,29
201702,SARMIENTO,LA LUZ MALA,565,264,NA,13,NA,35,16
201702,REGIO,OTELO,1255,907,66,51,NA,144,38
201702,REGIO,ROMEO Y JULIETA,1873,1557,92,NA,NA,2,71
201702,DE LA RIBERA,VARIETE DE ILUSIONES,240,405,9,20,NA,60,4
201703,DE LA RIBERA,BESOS EN LA BOCA,1003,190,21,346,NA,127,16
201703,SARMIENTO,EL RITMO (PRUEBA 5),315,484,1,7,NA,48,3
201703,REGIO,OTELO,618,650,26,52,NA,241,33
201703,REGIO,ROMEO Y JULIETA,126,262,4,2,NA,60,6
201703,DE LA RIBERA,VARIETE DE ILUSIONES,114,146,NA,5,NA,60,7
201704,DE LA RIBERA,EL FUTURO DE LOS HIPOPOTAMOS,NA,956,NA,NA,NA,NA,30
201704,SARMIENTO,EL RITMO (PRUEBA 5),1432,311,56,30,NA,181,20
201705,DE LA RIBERA,EL FUTURO DE LOS HIPOPOTAMOS,517,1113,13,57,NA,91,NA
201705,REGIO,EL RELOJERO,2407,1105,122,318,NA,450,114
201705,SARMIENTO,EL RITMO (PRUEBA 5),1512,484,60,24,NA,217,5
201705,REGIO,LA VUELTA AL MUNDO,1217,1166,22,4,NA,116,40
201705,REGIO,NACIONALES,30,490,4,NA,NA,60,4
201706,DE LA RIBERA,CRIMEN PASIONAL,211,1170,14,57,NA,184,12
201706,REGIO,EL RELOJERO,2677,1110,110,503,88,474,65
201706,DE LA RIBERA,ESPACIO DE LOS VENTANALES,NA,1767,NA,NA,NA,0,NA
201706,SAN MARTIN,LA FARSA DE LOS AUSENTES,2932,1373,114,368,134,449,175
201706,REGIO,LA VUELTA AL MUNDO EN 80 MUNDOS,1322,877,22,6,6,240,65
201706,REGIO,NACIONALES,37,511,4,NA,NA,180,4
201706,SAN MARTIN,PARIAS,1818,1253,97,270,90,304,169
201706,SARMIENTO,PROXIMO,1740,397,68,190,NA,233,39
201706,SAN MARTIN,TODO SALDRA BIEN,2211,1529,105,185,2,1,14
201706,SAN MARTIN,UMBRIO,747,270,115,150,56,30,71
201707,DE LA RIBERA,CRIMEN PASIONAL,459,420,34,61,18,120,11
201707,REGIO,EL AVARO,2199,1180,67,157,46,132,79
201707,SAN MARTIN,EL GRAN BAILE,NA,600,NA,NA,NA,NA,NA
201707,SAN MARTIN,EL NIÑO Y LOS SORTILEGIOS,2722,2320,112,9,40,312,128
201707,DE LA RIBERA,ESPACIO DE LOS VENTANALES,NA,NA,531,NA,NA,NA,NA
201707,SAN MARTIN,LA FARSA DE LOS AUSENTES,8943,1723,237,350,271,389,232
201707,REGIO,LA VUELTA AL MUNDO EN 80 MUNDOS,4943,1518,105,NA,18,289,99
201707,SARMIENTO,MUNDODANZA,346,658,16,6,NA,96,15
201707,SAN MARTIN,PARIAS,4061,556,214,211,160,424,153
201707,SARMIENTO,PROXIMO,1412,178,67,107,62,61,22
201707,SAN MARTIN,SALTIMBANQUIS,6463,1760,217,6,78,290,170
201707,SAN MARTIN,TRIBUTO A MORES,NA,535,NA,NA,NA,NA,NA
201707,SAN MARTIN,UMBRIO,976,102,147,120,116,45,46
201708,SAN MARTIN,CINE,1228,NA,30,961,NA,NA,NA
