Nivel Inicial, Primario y Secundario. Modalidad Común. Ciudad Autónoma de Buenos Aires. Año 2022;;;;;;;;;;;
Alumnos total, varones, mujeres por Sector de gestión según Nivel educativo y Dependencia ;;;;;;;;;;;
;;;;;;;;;;;
Dependencia General;Dependencia Ministerial;Oferta ;Sector de gestión;;;;;;;;
Total CABA;;;Total;;;Estatal;;;Privado;;
;;;Alumnos total;Varones total;Mujeres Total;Alumnos total;Varones total;Mujeres Total;Alumnos total;Varones total;Mujeres Total
Total CABA;;Total; 587.737 ; 298.192 ; 289.545 ; 299.858 ; 156.457 ; 143.401 ; 287.879 ; 141.735 ; 146.144 
;;Inicial común; 105.905 ; 53.671 ; 52.234 ; 51.096 ; 26.162 ; 24.934 ; 54.809 ; 27.509 ; 27.300 
;;Primario común; 278.233 ; 140.552 ; 137.681 ; 145.529 ; 74.987 ; 70.542 ; 132.704 ; 65.565 ; 67.139 
;;Secundario común; 203.599 ; 103.969 ; 99.630 ; 103.233 ; 55.308 ; 47.925 ; 100.366 ; 48.661 ; 51.705 
Nacional;;Total; 8.081 ; 4.088 ; 3.993 ; 8.081 ; 4.088 ; 3.993 ;;;
;;Inicial común; 192 ; 99 ; 93 ; 192 ; 99 ; 93 ;;;
;;Primario común; 1.044 ; 533 ; 511 ; 1.044 ; 533 ; 511 ;;;
;;Secundario común; 6.845 ; 3.456 ; 3.389 ; 6.845 ; 3.456 ; 3.389 ;;;
GCBA;Ministerio de Educación;Total; 579.463 ; 294.002 ; 285.461 ; 291.584 ; 152.267 ; 139.317 ; 287.879 ; 141.735 ; 146.144 
;;Inicial común; 105.520 ; 53.470 ; 52.050 ; 50.711 ; 25.961 ; 24.750 ; 54.809 ; 27.509 ; 27.300 
;;Primario común; 277.189 ; 140.019 ; 137.170 ; 144.485 ; 74.454 ; 70.031 ; 132.704 ; 65.565 ; 67.139 
;;Secundario común; 196.754 ; 100.513 ; 96.241 ; 96.388 ; 51.852 ; 44.536 ; 100.366 ; 48.661 ; 51.705 
;Ministerio de Cultura;Total; 193 ; 102 ; 91 ; 193 ; 102 ; 91 ;;;
;;Inicial común; 193 ; 102 ; 91 ; 193 ; 102 ; 91 ;;;
Fuente: Relevamiento Anual 2022.  Coordinación General de Información y Estadística Educativa. Unidad de Evaluación Integral de la Calidad y Equidad Educativa (UEICEE). Ministerio de Educación.  GCABA.;;;;;;;;;;;
Nota: La información brindada por la UEICEE y su política de difusión se rige por el artículo 11º de Ley 5049.;;;;;;;;;;;
