anio,sexo,porc_poblacion,grupo_edad
1855,TOTAL,29.1,0 - 14
1855,m,29.078676071622358,0 - 14
1855,v,29.19114808937685,0 - 14
1855,TOTAL,67.7,15 - 64
1855,m,67.61367335865437,15 - 64
1855,v,67.83891581249732,15 - 64
1855,TOTAL,3.2,65 y más
1855,m,3.307650569723277,65 y más
1855,v,2.9699360981258307,65 y más
1869,TOTAL,31.4,0 - 14
1869,m,35.06968516172218,0 - 14
1869,v,28.406015618959252,0 - 14
1869,TOTAL,66.3,15 - 64
1869,m,62.103463938227634,15 - 64
1869,v,69.68607438336039,15 - 64
1869,TOTAL,2.3,65 y más
1869,m,2.8268509000502013,65 y más
1869,v,1.9079099976803529,65 y más
1887,TOTAL,31.9,0 - 14
1887,m,36.382929423783786,0 - 14
1887,v,28.485337793027877,0 - 14
1887,TOTAL,66.4,15 - 64
1887,m,61.56118676735442,15 - 64
1887,v,70.11784962536096,15 - 64
1887,TOTAL,1.7,65 y más
1887,m,2.0558838088617857,65 y más
1887,v,1.3968125816111745,65 y más
1895,TOTAL,33.4,0 - 14
1895,m,36.08163558668635,0 - 14
1895,v,31.2,0 - 14
1895,TOTAL,64.8,15 - 64
1895,m,61.906550971603316,15 - 64
1895,v,67.31276913118123,15 - 64
1895,TOTAL,1.8,65 y más
1895,m,2.0118134417103355,65 y más
1895,v,1.5456924938785852,65 y más
1904,TOTAL,35.2,0 - 14
1904,m,36.67331350323619,0 - 14
1904,v,33.84727624482298,0 - 14
1904,TOTAL,62.8,15 - 64
1904,m,61.164808423153964,15 - 64
1904,v,64.25322814675722,15 - 64
1904,TOTAL,2.0,65 y más
1904,m,2.1618780736098504,65 y más
1904,v,1.8994956084198036,65 y más
1909,TOTAL,28.4,0 - 14
1909,m,29.99394542603674,0 - 14
1909,v,26.99046429979248,0 - 14
1909,TOTAL,69.6,15 - 64
1909,m,67.86142442908472,15 - 64
1909,v,71.1786260431829,15 - 64
1909,TOTAL,2.0,65 y más
1909,m,2.144630144878538,65 y más
1909,v,1.8309096570246224,65 y más
1914,TOTAL,30.1,0 - 14
1914,m,32.490133179673315,0 - 14
1914,v,28.06969029802887,0 - 14
1914,TOTAL,67.7,15 - 64
1914,m,65.0070098192611,15 - 64
1914,v,69.97883073649975,15 - 64
1914,TOTAL,2.2,65 y más
1914,m,2.502857001065603,65 y más
1914,v,1.9514789654713895,65 y más
1936,TOTAL,23.1,0 - 14
1936,m,23.01740460840457,0 - 14
1936,v,23.319877106259852,0 - 14
1936,TOTAL,73.0,15 - 64
1936,m,72.62070378460186,15 - 64
1936,v,73.31800626109515,15 - 64
1936,TOTAL,3.8,65 y más
1936,m,4.361891606993567,65 y más
1936,v,3.3621166326450007,65 y más
1947,TOTAL,19.1,0 - 14
1947,m,18.596780274124136,0 - 14
1947,v,19.555666252244023,0 - 14
1947,TOTAL,75.8,15 - 64
1947,m,75.53728409169473,15 - 64
1947,v,75.67920927607584,15 - 64
1947,TOTAL,5.1,65 y más
1947,m,5.865935634181117,65 y más
1947,v,4.7651244716801235,65 y más
1960,TOTAL,18.7,0 - 14
1960,m,17.442019315299813,0 - 14
1960,v,19.935705707092872,0 - 14
1960,TOTAL,72.3,15 - 64
1960,m,72.41795424791131,15 - 64
1960,v,71.67536145691388,15 - 64
1960,TOTAL,9.0,65 y más
1960,m,10.140026436788881,65 y más
1960,v,8.388932835993256,65 y más
1970,TOTAL,18.1,0 - 14
1970,m,16.39537852674582,0 - 14
1970,v,20.154575663667245,0 - 14
1970,TOTAL,70.2,15 - 64
1970,m,70.43597599897869,15 - 64
1970,v,69.73453309935407,15 - 64
1970,TOTAL,11.7,65 y más
1970,m,13.1686454742755,65 y más
1970,v,10.11089123697868,65 y más
1980,TOTAL,19.0,0 - 14
1980,m,17.28021461433353,0 - 14
1980,v,21.076473038829782,0 - 14
1980,TOTAL,66.1,15 - 64
1980,m,65.68715447969814,15 - 64
1980,v,66.61059251519313,15 - 64
1980,TOTAL,14.9,65 y más
1980,m,17.032630905968336,65 y más
1980,v,12.312934445977087,65 y más
1991,TOTAL,19.1,0 - 14
1991,m,17.22175553639471,0 - 14
1991,v,21.320554953308715,0 - 14
1991,TOTAL,64.6,15 - 64
1991,m,63.77366683072626,15 - 64
1991,v,65.6247093652649,15 - 64
1991,TOTAL,16.3,65 y más
1991,m,19.004577632879023,65 y más
1991,v,13.054735681426385,65 y más
2001,TOTAL,16.89256802075401,0 - 14
2001,m,15.224157925254335,0 - 14
2001,v,18.9046436194136,0 - 14
2001,TOTAL,65.87323829002737,15 - 64
2001,m,64.47775552158558,15 - 64
2001,v,67.55616794521549,15 - 64
2001,TOTAL,17.234193689218618,65 y más
2001,m,20.298086553160086,65 y más
2001,v,13.539188435370905,65 y más
2010,TOTAL,16.34900737020315,0 - 14
2010,m,14.886732843310027,0 - 14
2010,v,18.065084783493184,0 - 14
2010,TOTAL,67.24800884106054,15 - 64
2010,m,65.79472851128185,15 - 64
2010,v,68.9535309596813,15 - 64
2010,TOTAL,16.402983788736297,65 y más
2010,m,19.318538645408115,65 y más
2010,v,12.981384256825507,65 y más
