Barrios;Comuna;Casos
RECOLETA;2;158
VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;224
FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;283
PALERMO;14;287
CABALLITO;6;302
ALMAGRO - BOEDO;5;304
AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR;15;312
COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA;12;315
BELGRANO - COLEGIALES - NUÑEZ;13;315
LINIERS - MATADEROS - PARQUE AVELLANEDA;9;351
BALVANERA - SAN CRISTOBAL;3;441
CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO;1;584
FLORES - PARQUE CHACABUCO;7;589
BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS;4;590
VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI;8;674
Total;Total;5729
