medicion;fecha;med_id_bolsa;comuna;direccion_contenedor;latitud;longitud;peso_neto_kg;origen;clasificacion;1_s1;2_s1;3_s1;4_s1;5_s1;6_s1;7_s2;8_s2;9_s2;10_s2;11_s2;12_s3;13_s3;14_s3;suma
2022-M3;2022-11-23;22m3-1002;3;Entre Rios Av. 579;-3461525;-58,391839;3.685;Residencial;No Separa;0;0;0;0;0;2;0;1;0;0;0;1;0;3;7
2022-M3;2022-11-23;22m3-1001;3;Entre Rios Av. 466;-3461478806;-58,39163971;33395;Residencial;No Separa;0;0;0;0;1;0;0;0;0;2;0;0;0;0;3
2022-M3;2022-11-23;22m3-1016;3;Chile 2056;-3461708069;-58,39470673;4.175;Residencial;No Separa;0;0;0;0;0;1;0;0;1;1;0;0;0;0;3
2022-M3;2022-11-24;22m3-1026;3;Estados Unidos 2608;-346198082;-58,40230942;2.35;Residencial;No Separa;0;0;0;0;3;1;0;0;2;0;0;0;2;1;9
2022-M3;2022-11-24;22m3-1022;3;Humberto 1  3173;-3462361908;-58,40979767;2.545;Residencial;No Separa;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4
2022-M3;2022-11-24;22m3-1030;3;Dean Funes 1529;-3462833786;-58,40525818;3.78;Residencial;No Separa;0;0;0;0;2;1;0;0;1;0;0;0;1;0;5
2022-M3;2022-11-30;22m3-1109;10;Araujo 645;-346437719;-58,501481;2.32;Residencial;No Separa;0;0;0;0;1;1;0;0;2;1;0;0;1;0;6
2022-M3;2022-11-30;22m3-1101;10;Sanabria 2353;-346143787;-58,50278997;1.66;Residencial;No Separa;0;0;0;0;0;1;0;0;0;3;0;0;0;0;4
2022-M3;2022-12-01;22m3-1128;11;Tinogasta 5056;-3461421967;-58,5178299;1.385;Residencial;No Separa;4;0;0;0;0;0;0;0;0;0;0;0;1;0;5
2022-M3;2022-12-02;22m3-1142;12;Besares 3250;-3454801178;-58,47898865;2.505;Residencial;No Separa;2;0;0;0;0;1;0;0;0;0;1;0;0;0;4
