anio;sexo;casos_violencia_atendidos;grupo_edad
2009;Femenino;45;0 - 17
2009;Masculino;10;0 - 17
2009;Femenino;5241;18 y más
2009;Masculino;477;18 y más
2010;Femenino;67;0 - 17
2010;Masculino;3;0 - 17
2010;Femenino;6276;18 y más
2010;Masculino;599;18 y más
2011;Femenino;65;0 - 17
2011;Masculino;24;0 - 17
2011;Femenino;7250;18 y más
2011;Masculino;587;18 y más
2012;Femenino;67;0 - 17
2012;Masculino;7;0 - 17
2012;Femenino;8219;18 y más
2012;Masculino;893;18 y más
2013;Femenino;56;0 - 17
2013;Masculino;4;0 - 17
2013;Femenino;8116;18 y más
2013;Masculino;972;18 y más
2014;Femenino;54;0 - 17
2014;Masculino;4;0 - 17
2014;Femenino;8388;18 y más
2014;Masculino;1150;18 y más
2015;Femenino;73;0 - 17
2015;Masculino;5;0 - 17
2015;Femenino;8991;18 y más
2015;Masculino;1188;18 y más
2016;Femenino;66;0 - 17
2016;Masculino;13;0 - 17
2016;Femenino;8589;18 y más
2016;Masculino;1186;18 y más
2017;Femenino;2290;0 - 17
2017;Masculino;2080;0 - 17
2017;Femenino;8505;18 y más
2017;Masculino;1272;18 y más
2018;Femenino;2557;0 - 17
2018;Masculino;2271;0 - 17
2018;Femenino;9145;18 y más
2018;Masculino;1401;18 y más
2019;Femenino;2789;0 - 17
2019;Masculino;2425;0 - 17
2019;Femenino;9684;18 y más
2019;Masculino;1552;18 y más
2022;Femenino;1;0-17
2022;Femenino;2942;18 y más
2022;Masculino;0;0-17
2022;Masculino;25;18 y más
2022;Mujer trans;0;0-17
2022;Mujer trans;13;18 y más
2022;Varón trans;0;0-17
2022;Varón trans;3;18 y más
2022;No binario;0;0-17
2022;No binario;3;18 y más
2022;Travesti;0;0-17
2022;Travesti;1;18 y más
2023;Femenino;3;0-17
2023;Femenino;1667;18 y más
2023;Masculino;0;0-17
2023;Masculino;3;18 y más
2023;Mujer trans;0;0-17
2023;Mujer trans;6;18 y más
2023;Varón trans;5;0-17
2023;Varón trans;5;18 y más
2023;No binario;5;0-17
2023;No binario;5;18 y más 
