anio,sexo,grupo_edad,nacionalidad,cant_poblacion
1855,m,0 - 4,Extranjero,304.0
1855,v,0 - 4,Extranjero,294.0
1855,m,0 - 4,Nativo,4491.0
1855,v,0 - 4,Nativo,4498.0
1855,m,10 - 14,Extranjero,720.0
1855,v,10 - 14,Extranjero,1219.0
1855,m,10 - 14,Nativo,3449.0
1855,v,10 - 14,Nativo,3102.0
1855,m,15 - 19,Extranjero,1055.0
1855,v,15 - 19,Extranjero,2100.0
1855,m,15 - 19,Nativo,4240.0
1855,v,15 - 19,Nativo,2093.0
1855,m,20 - 24,Extranjero,1370.0
1855,v,20 - 24,Extranjero,3048.0
1855,m,20 - 24,Nativo,3665.0
1855,v,20 - 24,Nativo,2117.0
1855,m,25 - 29,Extranjero,1410.0
1855,v,25 - 29,Extranjero,3523.0
1855,m,25 - 29,Nativo,3665.0
1855,v,25 - 29,Nativo,1804.0
1855,m,30 - 34,Extranjero,1187.0
1855,v,30 - 34,Extranjero,3297.0
1855,m,30 - 34,Nativo,2982.0
1855,v,30 - 34,Nativo,1515.0
1855,m,35 - 39,Extranjero,730.0
1855,v,35 - 39,Extranjero,2190.0
1855,m,35 - 39,Nativo,2012.0
1855,v,35 - 39,Nativo,1251.0
1855,m,40 - 44,Extranjero,660.0
1855,v,40 - 44,Extranjero,1874.0
1855,m,40 - 44,Nativo,2084.0
1855,v,40 - 44,Nativo,986.0
1855,m,45 - 49,Extranjero,446.0
1855,v,45 - 49,Extranjero,1152.0
1855,m,45 - 49,Nativo,1437.0
1855,v,45 - 49,Nativo,818.0
1855,m,5 - 9,Extranjero,589.0
1855,v,5 - 9,Extranjero,700.0
1855,m,5 - 9,Nativo,3845.0
1855,v,5 - 9,Nativo,3800.0
1855,m,50 - 54,Extranjero,569.0
1855,v,50 - 54,Extranjero,1151.0
1855,m,50 - 54,Nativo,1365.0
1855,v,50 - 54,Nativo,626.0
1855,m,55 - 59,Extranjero,223.0
1855,v,55 - 59,Extranjero,542.0
1855,m,55 - 59,Nativo,647.0
1855,v,55 - 59,Nativo,458.0
1855,m,60 - 64,Extranjero,436.0
1855,v,60 - 64,Extranjero,610.0
1855,m,60 - 64,Nativo,970.0
1855,v,60 - 64,Nativo,481.0
1855,m,65 - 69,Extranjero,132.0
1855,v,65 - 69,Extranjero,226.0
1855,m,65 - 69,Nativo,287.0
1855,v,65 - 69,Nativo,168.0
1855,m,70 - 74,Extranjero,162.0
1855,v,70 - 74,Extranjero,339.0
