comunas;año;Propietario de la vivienda y el terreno;Inquilino o arrendatario;Tenencia precaria1;NS/NC 
1;2018;38;46,2;15,8;
2;2018;45,6;42,7;11,7;
3;2018;41,9;48,4;9,7;
4;2018;50,5;28,1;21,3;
5;2018;57,3;33,1;9,6;
6;2018;54,3;36,3;9,4;
7;2018;57,8;30,2;12;
8;2018;51,4;23,5;25,1;
9;2018;59,9;29,3;10,8;
10;2018;61,4;29,7;8,9;
11;2018;67,5;24,4;8,1;
12;2018;64,5;26,3;9,1;
13;2018;54,4;35,6;10;
14;2018;49;39,8;11,2;
15;2018;57,2;28,5;14,3;
1;2017;41;41,6;17,4;
2;2017;46,5;40,8;12,7;
3;2017;40,3;50,9;8,7;
4;2017;40,3;33,2;26,5;
5;2017;53,7;38,1;8,1;
6;2017;53,2;38,5;8,3;
7;2017;56,8;28,6;14,6;
8;2017;45,3;26,1;28,6;
9;2017;56,3;28,8;15;
10;2017;64,4;26,8;8,8;
11;2017;65,5;27,1;7,3;
12;2017;60,1;29,1;10,8;
13;2017;55,5;35,6;8,8;
14;2017;51,2;40;8,8;
15;2017;58,5;28,3;13,2;
1;2016;30,9;50,2;19;
2;2016;43,9;42,1;14;
3;2016;40,7;49,8;9,6;
4;2016;43;34,1;23;
5;2016;51,6;38,3;10;
6;2016;54,7;37,1;8,2;
7;2016;54,4;30,8;14,7;
8;2016;50;23,6;26,4;
9;2016;57,6;28,5;13,9;
10;2016;62,2;27,4;10,4;
11;2016;65;20,6;14,3;
12;2016;60,8;29;10,2;
13;2016;54,4;35,7;9,9;
14;2016;51,2;40,9;7,9;
15;2016;57,7;31,7;10,6;
1;2015;32,2;46,1;21,6;
2;2015;46,5;38,1;15,4;
3;2015;40,1;48,5;11,4;
4;2015;43,9;31,1;25;
5;2015;50,9;38,2;10,9;
6;2015;51,7;34,7;13,6;
7;2015;45,5;35,7;18,7;
8;2015;49,4;24,6;26,1;
9;2015;56,7;30,2;13,1;
10;2015;67,3;26,3;6,4;
11;2015;63;26,7;10,3;
12;2015;62,4;28,1;9,4;
13;2015;54,1;33,1;12,7;
14;2015;48,5;42;9,5;
15;2015;59,8;29,9;10,3;
1;2014;36,9;41,9;21,3;
2;2014;53,8;35,5;10,7;
3;2014;42,5;47,1;10,4;
4;2014;42,4;29,7;27,8;
5;2014;55,2;34,1;10,7;
6;2014;57,5;29,1;13,4;
7;2014;60;26,9;13,1;
8;2014;58,9;18,3;22,8;
9;2014;57,5;27,5;15;
10;2014;65,4;26,4;8,3;
11;2014;72,3;19,9;7,8;
12;2014;60,9;30,2;9;
13;2014;57,6;30,6;11,8;
14;2014;54;35,7;10,3;
15;2014;58;33;9;
1;2013;40,4;47,2;12,4;
2;2013;51,4;36,6;12;
3;2013;49,8;40,5;9,7;
4;2013;44,8;33,1;22,1;
5;2013;56,7;33;10,3;
6;2013;61,3;31,4;7,3;
7;2013;56,2;30,9;13;
8;2013;59,6;22,8;17,6;
9;2013;66;25,1;8,9;
10;2013;68,9;24,4;6,8;
11;2013;65,7;22,5;11,8;
12;2013;63,6;27,9;8,5;
13;2013;59;33;8,1;
14;2013;56,2;31,4;12,4;
15;2013;65,7;29,4;4,9;
1;2012;42,4;40,9;16,7;
2;2012;54,7;33,3;11,9;
3;2012;50,6;38,6;10,7;
4;2012;50,7;29,5;19,8;
5;2012;54,8;35,1;10,1;
6;2012;60,6;30,8;8,6;
7;2012;55,3;30,4;14,2;
8;2012;61,8;15,8;22,4;
9;2012;66,9;23;10,1;
10;2012;68,1;26,5;5,3;
11;2012;65,4;26,9;7,7;
12;2012;66,7;24,6;8,7;
13;2012;57,4;33,8;8,8;
14;2012;57,5;33,8;8,8;
15;2012;62,5;27,2;10,3;
1;2011;43,1;40,2;16,7;
2;2011;58,4;30,5;11,1;
3;2011;50,3;37;12,7;
4;2011;48;32,2;19,8;
5;2011;57;32,7;10,2;
6;2011;62,8;30,3;6,8;
7;2011;62;23,3;14,7;
8;2011;53,3;20,8;25,9;
9;2011;64,2;24;11,8;
10;2011;67,5;25,2;7,3;
11;2011;69,3;24,9;5,9;
12;2011;69,1;23,3;7,6;
13;2011;63,7;28;8,3;
14;2011;57,2;33,3;9,5;
15;2011;60,4;27,3;12,3;
1;2010;44,8;39,6;14,4;1,2
2;2010;58,3;29,7;10,4;1,6
3;2010;51,7;41;7,3;
4;2010;47,1;32,2;17;3,7
5;2010;58,2;32,9;8,9;
6;2010;62,9;30,1;6,6;0,4
7;2010;56,6;27,8;14,7;0,9
8;2010;52,4;15,7;29,5;2,4
9;2010;66,6;23,5;9,9;
10;2010;67,1;24,5;5,8;2,5
11;2010;69,2;20,5;7,9;2,4
12;2010;64,8;25,5;9,6;0,2
13;2010;65,5;25;9,5;
14;2010;63,6;25,7;10,3;0,4
15;2010;63;24,2;12,3;0,5
