id_techo;tipo_edificio;tipo_techo;edificio;tipo_sistema;capacidad;caracteristicas;generacion_anual_de_energia;huella_de_carbono_anual_evidata;calle;barrio;comuna
1;Público;Solar Fotovoltaico;CIFA;On-Grid;37660 Wp;"- INSTALACION SOLAR FOTOVOLTAICA ""Paneles convencionales"" ";;;;;
2;Público;Solar Fotovoltaico;Legislatura de la Ciudad de Buenos Aires;On-Grid;26000 Wp;96 módulos de silicio policristalino de 270 Wp, distribuidos en 16 filas de 6 módulos. - 2 inversores marca SMA Modelo STP 15000Tl-10 de 15 kVA.;48400;22.37;PERU;Monserrat;Comuna 1
3;Privado;Solar Fotovoltaico;Fundación Greenpeace Argentina;On-Grid;1700 Wp;750Wp: 10 módulos fotovoltaicos KS 75 (celdas Kyocera, módulo Solartec), de 75W cada uno, con un inversor SMA SB 700. - 960Wp: 12 módulos KS 80 (celdas Kyocera, módulo Solartec), de 80W cada uno, inversor ATERSA TAURO PR 1000/3.;2650;1.23;ZABALA;Chacarita;Comuna 15
4;Privado;Solar Fotovoltaico;Fundación Greenpeace Argentina;Off-Grid;120 Wp;Instalación fotovoltaica autónoma que alimenta una bomba centrífuga a corriente continua. - 120Wp. Batería Autobat Solar 115Wh. Bomba Shurflo 2088 12V CC. Regulador de carga Solartec SRX 10.;190;0.09;ZABALA;Chacarita;Comuna 15
5;Privado;Solar Fotovoltaico;Aseguradora Allianz;On-Grid;520 Wp;Paneles fotovoltaicos para la iluminacion led de la fachada. Ademas cuenta con dos molinos eólicos de eje vertical HelixWind de 2 kW cada uno.;810;0.37;CORRIENTES AV.;San Nicolas;Comuna 1
6;Privado;Solar Fotovoltaico;Observatorio de la CABA - Parque Centenario;On-Grid;1920 Wp;8 módulos de 240 Wp c/u.;2980;1.38;PATRICIAS ARGENTINAS AV.;Caballito;Comuna 6
7;Público;Solar Fotovoltaico;Ministerio de Ciencia, Tecnología e Innovación Productiva de la Nación;On-Grid;40035 Wp;2 inversores de conexion a red de 20 kW cada uno. - Datos de la Instalacion : http://www.aldar.com.ar/proyectos-realizados-helport.php ;;;;;
8;Privado;Solar Fotovoltaico;Palermo 1;Off-Grid;960 Wp;8 baterías, 1800 Wh;1490;0.69;FITZ ROY;Palermo;Comuna 14
9;Público;Solar Fotovoltaico;Hotel Perón;Off-Grid;5640 Wp;16 baterí-as, 2700 Wh;8750;4.04;YRIGOYEN, HIPOLITO;Balvanera;Comuna 3
10;Privado;Solar Fotovoltaico;Barracas 1;Off-Grid;1440 Wp;12 baterías, 2700 Wh;2230;1.03;Pedro N Arata;BARRACAS;Comuna 4
11;Público;Solar Fotovoltaico;Ente Nacional Regulador de la Electricidad;On-Grid;3700 Wp;20 módulos de 185 Wp cada uno;5740;2.65;SUIPACHA;San Nicolas;Comuna 1
12;Público;Solar Fotovoltaico;Palacio de Hacienda;On-Grid;4465 Wp;19 módulos de 235 Wp;6930;3.2;YRIGOYEN, HIPOLITO AV.;Monserrat;Comuna 1
13;Público;Solar Fotovoltaico;Ministerio de Energía y Minería;On-Grid;1440 Wp;8 Módulos FV de 180 Wp c/u.;2230;1.03;PASEO COLON AV.;Monserrat;Comuna 1
14;Público;Solar Fotovoltaico;Defensoría del Pueblo;Off-Grid;260 Wp;4 paneles fotovoltaicos de 65 Wp cada uno. - Inversor-Cargador Marca QMAX. - Batería Marca MouraClean.;400;0.19;REPUBLICA BOLIVARIANA DE VENEZUELA;Monserrat;Comuna 1
15;Público;Solar Fotovoltaico;Escuela Media NÂº 3, Distrito Escolar NÂº 4;Off-Grid;260 Wp;4 paneles de 65 W que alimenta un reflector a modo demostrativo.  - Baterias Trojan 24v/110Ah. - Inversor 24V/220V. 1KW - SP. - Regulador Morningstar. -Este sistema es parte de una estación didáctica. Aerogenerador 300 W, bicigenerador y horno solar;400;0.19;PALOS;Boca;Comuna 4
16;Privado;Solar Fotovoltaico;Particular 1;Off-Grid;600 Wp;Baterías 24 V. Sistema de generación para uso de determinados circuitos con posibilidad de back up para cortes de luz. Inversor de 3300 Watt;930;0.43;Neuquén;CABALLITO;Comuna 6
17;Privado;Solar Fotovoltaico;Particular 2;Off-Grid;100 Wp;Baterías en 12 V. Sistema: uso de iluminación interna y externa y la posibilidad de utilización como back up para cortes de luz.;160;0.07;Gurruchaga;VILLA CRESPO;Comuna 15
18;Privado;Solar Fotovoltaico;Particular 3;Off-Grid;200 Wp;Baterías en 12 V. Sistema para uso de iluminación interna y externa y la posibilidad de utilización como back up para cortes de luz.;310;0.14;Avenida Intendente Bullrich;PALERMO;Comuna 14
19;Privado;Solar Fotovoltaico;Particular 4;Off-Grid;1440 Wp;1440 Watt de paneles. Inversor cargador QMAX de 2000 Watt. Este sistema brinda la energía del 50% de los consumos energéticos del lugar;2230;1.03;Balbastro;FLORES;Comuna 7
20;Privado;Solar Térmico;Parque Chas 1;;200 lts;20 tubos Heat Pipe. Sistema compacto termosifónico.;3820;1.02;LIVERPOOL;Parque Chas;Comuna 15
21;Público;Solar Térmico;CIFA;;400 lts;2 Colectores de placa plana de 2 m2, sistema forzado;11460;3.06;ESCALADA AV.;Villa Soldati;Comuna 8
22;Público;Solar Térmico;Defensoria del Pueblo;;150 lts;1 Colector Vademarco MDIII, acumulador de 150 lts, con resistencia eléctrica.;2870;0.77;REPUBLICA BOLIVARIANA DE VENEZUELA;Monserrat;Comuna 1
23;Público;Solar Térmico;Escuela Media NÂº 3, Distrito Escolar NÂº 4;;50 lts;10 tubos de vacio. Modelo Apricus;960;0.26;PALOS;Boca;Comuna 4
24;Privado;Solar Térmico;Particular 5;;150 lts;Sistema compacto. Tubos de vacío tricapa de vidrio-borosilicato. Tanque interno: Acero inoxidable, 0,41 mm de espesor. Tanque externo: Acero con recubrimiento de PVDF, espesor 0,41 mm.;2870;0.77;CORRIENTES AV.;Villa Crespo;Comuna 15
25;Público;Solar Térmico;Centro de Primera Infancia Pamperito;;300 lts;Colector placa plana, termosifónico. Sistema instalado split;5730;1.53;RIESTRA AV.;Parque Chacabuco;Comuna 7
26;Público;Solar Térmico;Comedor Comunitario Portal de Belén;;300 lts;Colector placa plana, termosifónico. Sistema instalado split;5730;1.53;RIESTRA AV.;Flores;Comuna 7
27;Público;Solar Térmico;Particular 6;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
28;Público;Solar Térmico;Particular 7;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
29;Público;Solar Térmico;Particular 8;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
30;Público;Solar Térmico;Particular 9;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
31;Público;Solar Térmico;Particular 10;;180 lts;Colector placa plana, termosifónico. Sistema instalado split;3440;0.92;TORRES Y TENORIO, Pres.;Flores;Comuna 7
32;Público;Solar Fotovoltaico;Metrobus;On-Grid;78720 Wp;328 modulos de 240 watts cada uno;;;;;
