ano;mes;centro_procesamiento;tn_recuperadas
2021;ENE;Centro de Reciclaje de la Ciudad;51160,18
2021;ENE;Centros de Compostaje;313,45
2021;ENE;Centros Verdes de la Ciudad;2093,34
2021;ENE;Planta de Tratamiento Mecánico Biologico (TMB);18988,44
2021;FEB;Centro de Reciclaje de la Ciudad;30702,39
2021;FEB;Centros de Compostaje;460,65
2021;FEB;Centros Verdes de la Ciudad;2357,82
2021;FEB;Planta de Tratamiento Mecánico Biologico (TMB);18042,48
2021;MAR;Centro de Reciclaje de la Ciudad;59669,14
2021;MAR;Centros de Compostaje;244,54
2021;MAR;Centros Verdes de la Ciudad;3838,15
2021;MAR;Planta de Tratamiento Mecánico Biologico (TMB);19094,8
2021;ABR;Centro de Reciclaje de la Ciudad;56227
2021;ABR;Centros de Compostaje;274,99
2021;ABR;Centros Verdes de la Ciudad;3610,95
2021;ABR;Planta de Tratamiento Mecánico Biologico (TMB);16913,51
2021;MAY;Centro de Reciclaje de la Ciudad;47367,41
2021;MAY;Centros de Compostaje;336,43
2021;MAY;Centros Verdes de la Ciudad;4173,27
2021;MAY;Planta de Tratamiento Mecánico Biologico (TMB);14939,37
2021;JUN;Centro de Reciclaje de la Ciudad;52180,83
2021;JUN;Centros de Compostaje;386,52
2021;JUN;Centros Verdes de la Ciudad;4413,66
2021;JUN;Planta de Tratamiento Mecánico Biologico (TMB);17345,93
2021;JUL;Centro de Reciclaje de la Ciudad;57531,72
2021;JUL;Centros de Compostaje;404,25
2021;JUL;Centros Verdes de la Ciudad;4689,81
2021;JUL;Planta de Tratamiento Mecánico Biologico (TMB);18332,07
2021;AGO;Centro de Reciclaje de la Ciudad;55176,58
2021;AGO;Centros de Compostaje;350,83
2021;AGO;Centros Verdes de la Ciudad;4909,4
2021;AGO;Planta de Tratamiento Mecánico Biologico (TMB);18732,14
2021;SEP;Centro de Reciclaje de la Ciudad;50257,29
2021;SEP;Centros de Compostaje;311,75
2021;SEP;Centros Verdes de la Ciudad;4973,32
2021;SEP;Planta de Tratamiento Mecánico Biologico (TMB);17782,98
2021;OCT;Centro de Reciclaje de la Ciudad;54761,53
2021;OCT;Centros de Compostaje;364,3
2021;OCT;Centros Verdes de la Ciudad;5296,66
2021;OCT;Planta de Tratamiento Mecánico Biologico (TMB);18849,32
2021;NOV;Centro de Reciclaje de la Ciudad;62939,15
2021;NOV;Centros de Compostaje;542,95
2021;NOV;Centros Verdes de la Ciudad;6311,89
2021;NOV;Planta de Tratamiento Mecánico Biologico (TMB);18763,27
2021;DIC;Centro de Reciclaje de la Ciudad;61567,59
2021;DIC;Centros de Compostaje;583,08
2021;DIC;Centros Verdes de la Ciudad;6493,16
2021;DIC;Planta de Tratamiento Mecánico Biologico (TMB);18682,7
2022;ENE;Centro de Reciclaje de la Ciudad;54464,9
2022;ENE;Centros de Compostaje;567,51
2022;ENE;Centros Verdes de la Ciudad;6012,5
2022;ENE;Planta de Tratamiento Mecánico Biologico (TMB);14987,88
2022;FEB;Centro de Reciclaje de la Ciudad;61094,78
2022;FEB;Centros de Compostaje;606,49
2022;FEB;Centros Verdes de la Ciudad;6462,3
2022;FEB;Planta de Tratamiento Mecánico Biologico (TMB);12917233
2022;MAR;Centro de Reciclaje de la Ciudad;59519,16
2022;MAR;Centros de Compostaje;592,34
2022;MAR;Centros Verdes de la Ciudad;6666,2
2022;MAR;Planta de Tratamiento Mecánico Biologico (TMB);16562,13
2022;ABR;Centro de Reciclaje de la Ciudad;66725,52
2022;ABR;Centros de Compostaje;580,88
2022;ABR;Centros Verdes de la Ciudad;6643
2022;ABR;Planta de Tratamiento Mecánico Biologico (TMB);16177,77
2022;MAY;Centro de Reciclaje de la Ciudad;61881,48
2022;MAY;Centros de Compostaje;672,94
2022;MAY;Centros Verdes de la Ciudad;6499,9
2022;MAY;Planta de Tratamiento Mecánico Biologico (TMB);17510,11
2022;JUN;Centro de Reciclaje de la Ciudad;63196,13
2022;JUN;Centros de Compostaje;572,43
2022;JUN;Centros Verdes de la Ciudad;6702,8
2022;JUN;Planta de Tratamiento Mecánico Biologico (TMB);16000,29
2022;JUL;Centro de Reciclaje de la Ciudad;65308,7
2022;JUL;Centros de Compostaje;560,26
2022;JUL;Centros Verdes de la Ciudad;6704,9
2022;JUL;Planta de Tratamiento Mecánico Biologico (TMB);16108,9
2022;AGO;Centro de Reciclaje de la Ciudad;69642,36
2022;AGO;Centros de Compostaje;590,37
2022;AGO;Centros Verdes de la Ciudad;7001,9
2022;AGO;Planta de Tratamiento Mecánico Biologico (TMB);16244,98
2022;SEP;Centro de Reciclaje de la Ciudad;59468,12
2022;SEP;Centros de Compostaje;503,26
2022;SEP;Centros Verdes de la Ciudad;7327,8
2022;SEP;Planta de Tratamiento Mecánico Biologico (TMB);15674,89
2022;OCT;Centro de Reciclaje de la Ciudad;67278,46
2022;OCT;Centros de Compostaje;585,8
2022;OCT;Centros Verdes de la Ciudad;7179,4
2022;OCT;Planta de Tratamiento Mecánico Biologico (TMB);17314,58
2022;NOV;Centro de Reciclaje de la Ciudad;69307,2
2022;NOV;Centros de Compostaje;592,25
2022;NOV;Centros Verdes de la Ciudad;7733,9
2022;NOV;Planta de Tratamiento Mecánico Biologico (TMB);16144,72
2022;DIC;Centro de Reciclaje de la Ciudad;63674,27
2022;DIC;Centros de Compostaje;510,44
2022;DIC;Centros Verdes de la Ciudad;7561,9
2022;DIC;Planta de Tratamiento Mecánico Biologico (TMB);14799315
2023;ENE;Centro de Reciclaje de la Ciudad;52023,05
2023;ENE;Centros de Compostaje;570,79
2023;ENE;Centros Verdes de la Ciudad;6039,56
2023;ENE;Planta de Tratamiento Mecánico Biologico (TMB);16097,71
2023;FEB;Centro de Reciclaje de la Ciudad;51302,6
2023;FEB;Centros de Compostaje;465,66
2023;FEB;Centros Verdes de la Ciudad;6827,3
2023;FEB;Planta de Tratamiento Mecánico Biologico (TMB);12686,33
2023;MAR;Centro de Reciclaje de la Ciudad;63641,1
2023;MAR;Centros de Compostaje;563,25
2023;MAR;Centros Verdes de la Ciudad;6688,8
2023;MAR;Planta de Tratamiento Mecánico Biologico (TMB);20907,32
2023;ABR;Centro de Reciclaje de la Ciudad;54859,2
2023;ABR;Centros de Compostaje;457,68
2023;ABR;Centros Verdes de la Ciudad;6880,43
2023;ABR;Planta de Tratamiento Mecánico Biologico (TMB);19695,34
2023;MAY;Centro de Reciclaje de la Ciudad;68925,37
2023;MAY;Centros de Compostaje;620,46
2023;MAY;Centros Verdes de la Ciudad;7238,76
2023;MAY;Planta de Tratamiento Mecánico Biologico (TMB);15737,34
2023;JUN;Centro de Reciclaje de la Ciudad;77098,68
2023;JUN;Centros de Compostaje;508,44
2023;JUN;Centros Verdes de la Ciudad;7119,19
2023;JUN;Planta de Tratamiento Mecánico Biologico (TMB);18288,96
2023;JUL;Centro de Reciclaje de la Ciudad;81464,84
2023;JUL;Centros de Compostaje;504,86
2023;JUL;Centros Verdes de la Ciudad;7338,59
2023;JUL;Planta de Tratamiento Mecánico Biologico (TMB);19516,09
2023;AGO;Centro de Reciclaje de la Ciudad;86191
2023;AGO;Centros de Compostaje;596,22
2023;AGO;Centros Verdes de la Ciudad;7148,4
2023;AGO;Planta de Tratamiento Mecánico Biologico (TMB);20216,24
2023;SEP;Centro de Reciclaje de la Ciudad;70776,08
2023;SEP;Centros de Compostaje;721,98
2023;SEP;Centros Verdes de la Ciudad;6966,7
2023;SEP;Planta de Tratamiento Mecánico Biologico (TMB);19923,92
2023;OCT;Centro de Reciclaje de la Ciudad;86779,91
2023;OCT;Centros de Compostaje;737,91
2023;OCT;Centros Verdes de la Ciudad;7028,9
2023;OCT;Planta de Tratamiento Mecánico Biologico (TMB);18316,43
2023;NOV;Centro de Reciclaje de la Ciudad;92854,7
2023;NOV;Centros de Compostaje;822,1
2023;NOV;Centros Verdes de la Ciudad;6943,1
2023;NOV;Planta de Tratamiento Mecánico Biologico (TMB);20365,81
2024;ENE;Centro de Reciclaje de la Ciudad;72131,4
2024;ENE;Centros de Compostaje;556,82
2024;ENE;Centros Verdes de la Ciudad;3227
2024;FEB;Planta de Tratamiento Mecánico Biologico (TMB);18767
2024;FEB;Centro de Reciclaje de la Ciudad;56290,3
2024;FEB;Centros de Compostaje;765,57
2024;FEB;Centros Verdes de la Ciudad;2750,7
2024;FEB;Planta de Tratamiento Mecánico Biologico (TMB);17520
2024;MAR;Centro de Reciclaje de la Ciudad;41345,1
2024;MAR;Centros de Compostaje;777,22
2024;MAR;Centros Verdes de la Ciudad;3010
2024;MAR;Planta de Tratamiento Mecánico Biologico (TMB);18547
2024;ABR;Centro de Reciclaje de la Ciudad;48961,2
2024;ABR;Centros de Compostaje;739,8
2024;ABR;Centros Verdes de la Ciudad;3038,1
2024;ABR;Planta de Tratamiento Mecánico Biologico (TMB);13456
2024;MAY;Centro de Reciclaje de la Ciudad;84287,26
2024;MAY;Centros de Compostaje;834,65
2024;MAY;Centros Verdes de la Ciudad;3457,1
2024;MAY;Planta de Tratamiento Mecánico Biologico (TMB);14925
2024;JUN;Centro de Reciclaje de la Ciudad;72715,18
2024;JUN;Centros de Compostaje;790,87
2024;JUN;Centros Verdes de la Ciudad;3088,1
2024;JUN;Planta de Tratamiento Mecánico Biologico (TMB);15447
2024;JUL;Centro de Reciclaje de la Ciudad;65706,54
2024;JUL;Centros de Compostaje;883
2024;JUL;Centros Verdes de la Ciudad;4076,83
2024;JUL;Planta de Tratamiento Mecánico Biologico (TMB);18671
2024;AGO;Centro de Reciclaje de la Ciudad;69946,58
2024;AGO;Centros de Compostaje;846
2024;AGO;Centros Verdes de la Ciudad;3929,55
2024;AGO;Planta de Tratamiento Mecánico Biologico (TMB);18142
2024;SEP;Centro de Reciclaje de la Ciudad;67200,29
2024;SEP;Centros de Compostaje;712
2024;SEP;Centros Verdes de la Ciudad;3956,84
2024;SEP;Planta de Tratamiento Mecánico Biologico (TMB);20390
2024;OCT;Centro de Reciclaje de la Ciudad;68149,48
2024;OCT;Centros de Compostaje;689
2024;OCT;Centros Verdes de la Ciudad;3943,83
2024;OCT;Planta de Tratamiento Mecánico Biologico (TMB);19322
2024;NOV;Centro de Reciclaje de la Ciudad;52564,44
2024;NOV;Centros de Compostaje;672
2024;NOV;Centros Verdes de la Ciudad;4201,9
2024;NOV;Planta de Tratamiento Mecánico Biologico (TMB);18986
2024;DIC;Centro de Reciclaje de la Ciudad;59197,8
2024;DIC;Centros de Compostaje;665
2024;DIC;Centros Verdes de la Ciudad;3920,32
2024;DIC;Planta de Tratamiento Mecánico Biologico (TMB);22349
2025;ENE;Centro de Reciclaje de la Ciudad;83218
2025;ENE;Centros de Compostaje;616
2025;ENE;Centros Verdes de la Ciudad;3883
2025;FEB;Planta de Tratamiento Mecánico Biologico (TMB);21403
2025;FEB;Centro de Reciclaje de la Ciudad;64017
2025;FEB;Centros de Compostaje;610
2025;FEB;Centros Verdes de la Ciudad;3562
2025;FEB;Planta de Tratamiento Mecánico Biologico (TMB);18976
2025;MAR;Centro de Reciclaje de la Ciudad;69709
