Año;OVD;CIM;Total;Descripción_OVD;Descripción_CIM
2024 (Enero-Junio);;2685;;;
2023;;5513;;;
2022;;6069;;;
2021;11579;5762;17341;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2020;9974;3860;13834;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2019;16450;2568;19018;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2018;15374;3004;18378;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2017;14147;2231;16378;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2016;9854;1850;11704;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2015;10257;1955;12212;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2014;9596;2097;11693;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2013;9148;2367;11515;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2012;9186;2794;11980;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2011;7926;3180;11106;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2010;6945;2897;9842;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
2009;5773;2934;8707;Personas afectadas por hechos de violencia doméstica atendidas por la Oficina de Violencia Doméstica de la Corte Suprema de Justicia de la Nación (OVD);Mujeres en situación de violencia de género doméstica asistidas en los Centros Integrales de la Mujer en Buenos Aires
